,input_text_list,pos_extraction_list,collection_word_list,list_docs_retrived,prompt
0," I'm currently enjoying the album ""Listen to Eason Chan.""","['m', 'enjoying']","['am', 'excited', 'going', 'listening', 'loving']","[""I have exceeded my Twitter API limit. Gosh. Was too excited about Singapore trending .. Can't tweet anymore  anyway i am going for a jog"", ""listening to eason's 2006 album .. What's going on...? This is my favourite eason album  it's 3.38am""]","Paraphrase the following sentence without adding any other information: "" I'm currently enjoying the album ""Listen to Eason Chan."""" based on the user's previous tweets: ""[""I have exceeded my Twitter API limit. Gosh. Was too excited about Singapore trending .. Can't tweet anymore  anyway i am going for a jog"", ""listening to eason's 2006 album .. What's going on...? This is my favourite eason album  it's 3.38am""]""."
1," Visit the blog for the best quote of the day, which is ""cake my face, BITCH"" hahaha.",['best'],"['all', 'favourite', 'get', 'good']","[""I guess I'm last shift to drive... Time to sleep first then  @ Vegas Road Trip  "", '@missjmar omg it IS freaking gorgeous! Had sooo much fun, wish I remembered to take a picture of that beautiful waterfall ']","Paraphrase the following sentence without adding any other information: "" Visit the blog for the best quote of the day, which is ""cake my face, BITCH"" hahaha."" based on the user's previous tweets: ""[""I guess I'm last shift to drive... Time to sleep first then  @ Vegas Road Trip  "", '@missjmar omg it IS freaking gorgeous! Had sooo much fun, wish I remembered to take a picture of that beautiful waterfall ']""."
2, @jackfaulkner suggested using heroin to help alleviate physical pain.,['physical'],"['energetic', 'kind', 'life', 'same']","['@thecraigmorris @SoulIsTheGoal @jackfaulkner Nyaww, thanks guys  wish I had remembered to put it in the first time round. Nevermind!', '@addersop I went to Creamfields 2 years ago, but it was full of pricks  The crowd at BF are just really friendly and sound.']","Paraphrase the following sentence without adding any other information: "" @jackfaulkner suggested using heroin to help alleviate physical pain."" based on the user's previous tweets: ""['@thecraigmorris @SoulIsTheGoal @jackfaulkner Nyaww, thanks guys  wish I had remembered to put it in the first time round. Nevermind!', '@addersop I went to Creamfields 2 years ago, but it was full of pricks  The crowd at BF are just really friendly and sound.']""."
3," @WillMyDogHateMe, your statement about the theory being powerful and causing people to feel afraid is accurate.","['powerful', 'afraid', 'accurate']","['blunt', 'energetic', 'good', 'heavy', 'more', 'know', 'not', 'too', 'good', 'more', 'not', 'useless']","['@pinkjellytot yes although some dogs are definitely more of a challenge.  I had one of those!', '@WillMyDogHateMe Wait till u read HER stuff OMG I suspect you will fall about laughing. At least CM is not formally spawning himself ']","Paraphrase the following sentence without adding any other information: "" @WillMyDogHateMe, your statement about the theory being powerful and causing people to feel afraid is accurate."" based on the user's previous tweets: ""['@pinkjellytot yes although some dogs are definitely more of a challenge.  I had one of those!', '@WillMyDogHateMe Wait till u read HER stuff OMG I suspect you will fall about laughing. At least CM is not formally spawning himself ']""."
4, @delossantoss agrees with you @raingin. How was your work? :o.,"['agrees', 'raingin', 'was']","['know', 'that', 'uses', 'will', 'waxyx', 'weiweis', 'had', 'is', 'meant', 'wanted', 'would']","['@hoffifer working, as usual .. Awesome weather is taunting me ', ""@hoffifer what company ? Only if they take paypal lol if they don't ill look for a site selling it that does take paypal ""]","Paraphrase the following sentence without adding any other information: "" @delossantoss agrees with you @raingin. How was your work? :o."" based on the user's previous tweets: ""['@hoffifer working, as usual .. Awesome weather is taunting me ', ""@hoffifer what company ? Only if they take paypal lol if they don't ill look for a site selling it that does take paypal ""]""."
5," @MissPressa and I had the same idea. Unfortunately, she did not attend SMCSYD. I noticed her experience via Twitter.",['same'],"['same', 'the']","['@cazduck Me too. You can refresh your memory of it here if you want to:   ', '@tiphereth Ta. Must be new profile pic day.  Thailand top of holiday list so far. Not for a few months though - probably a winter escape.']","Paraphrase the following sentence without adding any other information: "" @MissPressa and I had the same idea. Unfortunately, she did not attend SMCSYD. I noticed her experience via Twitter."" based on the user's previous tweets: ""['@cazduck Me too. You can refresh your memory of it here if you want to:   ', '@tiphereth Ta. Must be new profile pic day.  Thailand top of holiday list so far. Not for a few months though - probably a winter escape.']""."
6," @MINGOENT, that's great news! My children are doing well. School is almost finished, but I'm not quite ready for it. LOL","['great', 'ready']","['good', 'have', 'kind', 'lot', 'too', 'get', 'going']","['@KiKiDeuce yeah legal probs/never fun! And I only get a week off school  its a 2 yr program. Booo buts all good', ""@BlackQueen1010 oh man..at least u get to tweet us  and working sat or sun is grind! Cause I ain't doing it. Lol""]","Paraphrase the following sentence without adding any other information: "" @MINGOENT, that's great news! My children are doing well. School is almost finished, but I'm not quite ready for it. LOL"" based on the user's previous tweets: ""['@KiKiDeuce yeah legal probs/never fun! And I only get a week off school  its a 2 yr program. Booo buts all good', ""@BlackQueen1010 oh man..at least u get to tweet us  and working sat or sun is grind! Cause I ain't doing it. Lol""]""."
7," The last Spring Awakening show in London has started recently and unfortunately, I never had the chance to attend.",['last'],"['day', 'half', 'this', 'time']","['I totally forgot about West End Live this past weekend! Gutted  ', '@maureenjohnson YESPLZ! I sent you an email about this very subject matter mere days ago ']","Paraphrase the following sentence without adding any other information: "" The last Spring Awakening show in London has started recently and unfortunately, I never had the chance to attend."" based on the user's previous tweets: ""['I totally forgot about West End Live this past weekend! Gutted  ', '@maureenjohnson YESPLZ! I sent you an email about this very subject matter mere days ago ']""."
8, My heater is located underneath my table; a good thought.,['good'],"['darn', 'good', 'kind', 'lot', 'too']","[""@leetid83 It might spoil it for you though.  I don't mind that the movie isn't the same as the book but a lot of people hate it."", '@SwissTwist Morning!  You may leave them with me. ;)']","Paraphrase the following sentence without adding any other information: "" My heater is located underneath my table; a good thought."" based on the user's previous tweets: ""[""@leetid83 It might spoil it for you though.  I don't mind that the movie isn't the same as the book but a lot of people hate it."", '@SwissTwist Morning!  You may leave them with me. ;)']""."
9," @Dangerous_T, you are incredibly foolish! I hope my mind was clearer at the moment.","['foolish', 'clearer']","['not', 'sad', 'too', 'useless', 'become', 'bit', 'lot', 'more', 'than']","['I have tried to follow 4 new ppl and its not saving to my twitter?? ', ""@MACTRAKZ Text the pic if u can't upload it ""]","Paraphrase the following sentence without adding any other information: "" @Dangerous_T, you are incredibly foolish! I hope my mind was clearer at the moment."" based on the user's previous tweets: ""['I have tried to follow 4 new ppl and its not saving to my twitter?? ', ""@MACTRAKZ Text the pic if u can't upload it ""]""."
10, I believe I misplaced my textbook for Spanish!! :-(,['Spanish'],"['California', 'France', 'H1N1', 'music']","['@SongzYuuup wat is the name of ur mixtape with &quot;r u a performer&quot; &amp; &quot;do u kno what la pearla is&quot; i lost all my music and i ? that mixtape ', 'lunch was bfast but the shit was good as hell!!! eggs turkeg bacon and wheat toast w/ orange.... man i dont wanna go to class ']","Paraphrase the following sentence without adding any other information: "" I believe I misplaced my textbook for Spanish!! :-("" based on the user's previous tweets: ""['@SongzYuuup wat is the name of ur mixtape with &quot;r u a performer&quot; &amp; &quot;do u kno what la pearla is&quot; i lost all my music and i ? that mixtape ', 'lunch was bfast but the shit was good as hell!!! eggs turkeg bacon and wheat toast w/ orange.... man i dont wanna go to class ']""."
11," The weather is pleasant, but I still have to go to work.",['pleasant'],"['bright', 'energetic', 'good', 'kind', 'sad']","['Not happy having a stuck up old woman sat next to me on the coach! Annoying! ', ""@kristinasky I can't wait for the Lost finale!! Arguably the best show on TV ""]","Paraphrase the following sentence without adding any other information: "" The weather is pleasant, but I still have to go to work."" based on the user's previous tweets: ""['Not happy having a stuck up old woman sat next to me on the coach! Annoying! ', ""@kristinasky I can't wait for the Lost finale!! Arguably the best show on TV ""]""."
