,input_text_list,pos_extraction_list,collection_word_list,list_docs_retrived,prompt
0," Assume that a tree T has a number n
 s of “supply vertices” and all the other vertices are “demand vertices.” Each supply vertex is assigned a positive number called
 a supply, while each demand vertex is assigned a positive number called a demand. One wish to partition T into exactly n
 s subtrees by deleting edges from T so that each subtree contains exactly one supply vertex whose supply is no less than the sum of demands of all demand vertices
 in the subtree. The “partition problem” is a decision problem to ask whether T has such a partition. The “maximum partition problem” is an optimization version of the partition problem. In this paper,
 we give three algorithms for the problems. First is a linear-time algorithm for the partition problem. Second is a pseudo-polynomial-time
 algorithm for the maximum partition problem. Third is a fully polynomial-time approximation scheme (FPTAS) for the maximum
 partition problem.
 ","['n', 'other', 'positive', 'positive', 'n', 'less', 'maximum', 'optimization', 'lineartime', 'pseudopolynomialtime', 'maximum', 'polynomialtime', 'maximum']","['A', 'the', 'balanced', 'better', 'key', 'unate', 'balanced', 'better', 'key', 'unate', 'A', 'almost', 'better', 'than', 'without', 'Maximum', 'maximal', 'maximum', 'total', 'algorithm', 'Lineartime', 'lineartime', 'seriesparallel', 'Approximability', 'PolynomialTime', 'nonhamiltonian', 'vertexrankings', 'Maximum', 'maximal', 'maximum', 'total', 'Approximability', 'PolynomialTime', 'nonhamiltonian', 'vertexrankings', 'Maximum', 'maximal', 'maximum', 'total']","['A 1-tough nonhamiltonian maximal planar graph', 'A better than “best possible” algorithm to edge color multigraphs']","Paraphrase the following paper title without adding any other information: "" Assume that a tree T has a number n
 s of “supply vertices” and all the other vertices are “demand vertices.” Each supply vertex is assigned a positive number called
 a supply, while each demand vertex is assigned a positive number called a demand. One wish to partition T into exactly n
 s subtrees by deleting edges from T so that each subtree contains exactly one supply vertex whose supply is no less than the sum of demands of all demand vertices
 in the subtree. The “partition problem” is a decision problem to ask whether T has such a partition. The “maximum partition problem” is an optimization version of the partition problem. In this paper,
 we give three algorithms for the problems. First is a linear-time algorithm for the partition problem. Second is a pseudo-polynomial-time
 algorithm for the maximum partition problem. Third is a fully polynomial-time approximation scheme (FPTAS) for the maximum
 partition problem.
 "" based on the user's previous titles: ""['A 1-tough nonhamiltonian maximal planar graph', 'A better than “best possible” algorithm to edge color multigraphs']""."
1," In our earlier work, we found that feature space induced by tactile receptive fields (TRFs) are better than that by visual receptive fields (VRFs) in texture boundary detection tasks. This suggests that TRFs could be intimately associated with texture-like input. In this paper, we investigate how TRFs can develop in a cortical learning context. Our main hypothesis is that TRFs can be self-organized using the same cortical development mechanism found in the visual cortex, simply by exposing it to texture-like inputs (as opposed to natural-scene-like inputs). To test our hypothesis, we used the LISSOM model of visual cortical development. Our main results show that texture-like inputs lead to the self-organization of TRFs while natural-scene-like inputs lead to VRFs. These results suggest that TRFs can better represent texture than VRFs. We further analyzed the effectiveness of TRFs in representing texture, using kernel Fisher discriminant (KFD) and the results, along with texture classification performance, confirm that this is indeed the case. We expect these results to help us better understand the nature of texture, as a fundamentally tactile property.","['earlier', 'feature', 'tactile', 'receptive', 'better', 'visual', 'receptive', 'boundary', 'texturelike', 'cortical', 'main', 'selforganized', 'same', 'cortical', 'visual', 'texturelike', 'naturalscenelike', 'visual', 'cortical', 'main', 'texturelike', 'naturalscenelike', 'texture', 'better', 'tactile']","['than', 'the', 'functions', 'key', 'set', 'linear', 'and', 'best', 'better', 'optimal', 'than', 'color', 'depth', 'drawings', 'and', 'bounded', 'bounds', 'contours', 'edge', 'edgedisjoint', 'multicolorings', 'vertexrankings', 'planar', 'key', 'the', '4connected', 'Triconnected', 'lineartime', 'the', 'planar', 'color', 'depth', 'drawings', 'edgedisjoint', 'multicolorings', 'vertexrankings', 'SeriesParallel', 'degreeconstrained', 'edgedisjoint', 'fourconnected', 'color', 'depth', 'drawings', 'planar', 'key', 'the', 'edgedisjoint', 'multicolorings', 'vertexrankings', 'SeriesParallel', 'degreeconstrained', 'edgedisjoint', 'fourconnected', 'color', 'complexity', 'contours', 'depth', 'best', 'better', 'optimal', 'than', 'linear']","['Analogical cascade: a theory on the role of the thalamo-cortical loop in brain function.', 'Extrapolative Delay Compensation Through Facilitating Synapses and Its Relation to the Flash-Lag Effect']","Paraphrase the following paper title without adding any other information: "" In our earlier work, we found that feature space induced by tactile receptive fields (TRFs) are better than that by visual receptive fields (VRFs) in texture boundary detection tasks. This suggests that TRFs could be intimately associated with texture-like input. In this paper, we investigate how TRFs can develop in a cortical learning context. Our main hypothesis is that TRFs can be self-organized using the same cortical development mechanism found in the visual cortex, simply by exposing it to texture-like inputs (as opposed to natural-scene-like inputs). To test our hypothesis, we used the LISSOM model of visual cortical development. Our main results show that texture-like inputs lead to the self-organization of TRFs while natural-scene-like inputs lead to VRFs. These results suggest that TRFs can better represent texture than VRFs. We further analyzed the effectiveness of TRFs in representing texture, using kernel Fisher discriminant (KFD) and the results, along with texture classification performance, confirm that this is indeed the case. We expect these results to help us better understand the nature of texture, as a fundamentally tactile property."" based on the user's previous titles: ""['Analogical cascade: a theory on the role of the thalamo-cortical loop in brain function.', 'Extrapolative Delay Compensation Through Facilitating Synapses and Its Relation to the Flash-Lag Effect']""."
2," Clock distribution networks (CDNs) are costly in high-performance ASICs. This paper proposes a new approach: splitting clock domains at a very fine level, down to the level of a handful of gates. Each domain is synchronized with an inexpensive clock signal, generated locally. This is possible by adopting the paradigm of stochastic computation, where signal values are encoded as random bit streams. The design method is illustrated with the synthesis of circuits for applications in signal and image processing.","['costly', 'highperformance', 'new', 'fine', 'inexpensive', 'possible', 'stochastic', 'signal', 'random']","['Minimizing', 'necessary', 'possible', 'than', 'tradeoffs', 'Efficient', 'compact', 'computing', 'the', 'almost', 'balanced', 'better', 'Efficient', 'Simple', 'best', 'compact', 'best', 'necessary', 'optimal', 'possible', 'combinatorial', 'linear', 'circuits', 'threshold', 'combinatorial', 'linear', 'undirected']","['Efficient Use of Dynamically tagged Directories Through Compiler Analysis', 'Power and Area Efficient Sorting Networks Using Unary Processing']","Paraphrase the following paper title without adding any other information: "" Clock distribution networks (CDNs) are costly in high-performance ASICs. This paper proposes a new approach: splitting clock domains at a very fine level, down to the level of a handful of gates. Each domain is synchronized with an inexpensive clock signal, generated locally. This is possible by adopting the paradigm of stochastic computation, where signal values are encoded as random bit streams. The design method is illustrated with the synthesis of circuits for applications in signal and image processing."" based on the user's previous titles: ""['Efficient Use of Dynamically tagged Directories Through Compiler Analysis', 'Power and Area Efficient Sorting Networks Using Unary Processing']""."
3," Myerson's graph-restricted games are a well-known formalism for modeling cooperation that's subject to restrictions. In particular, Myerson considered a coalitional game in which cooperation is possible only through an underlying network of links between agents. A unique fair solution concept for graph-restricted games is called the Myerson value. One study generalized these results by considering probabilistic graphs in which agents can cooperate via links only to some extent, that is, with some probability. The authors' algorithm is based on the enumeration of all connected subgraphs in the graph. As a sample application of the new algorithm, they consider a probabilistic graph that represents likelihood of pairwise collaboration between political parties before the 2015 general elections in the UK.","['graphrestricted', 'wellknown', 'subject', 'particular', 'coalitional', 'possible', 'underlying', 'unique', 'fair', 'graphrestricted', 'probabilistic', 'sample', 'new', 'probabilistic', 'political', 'general']","['4Connected', '4connected', 'MultipleValued', 'seriesparallel', 'Various', 'best', 'colorings', 'combinatorial', 'areas', 'the', 'under', 'without', 'the', 'Hamiltonian', 'bipartition', 'combinatorial', 'matchings', 'best', 'necessary', 'optimal', 'possible', 'complexity', 'problem', 'problems', 'balanced', 'best', 'optimal', 'balanced', 'best', 'better', 'sufficient', '4Connected', '4connected', 'MultipleValued', 'seriesparallel', 'algorithm', 'algorithms', 'combinatorial', 'graph', 'partial', 'size', 'the', 'algorithm', 'algorithms', 'combinatorial', 'Hamiltonian', 'family', 'networks', 'power', 'generalized', 'the']","['Strategy/false-name proof protocols for combinatorial multi-attribute procurement auction: handling arbitrary utility of the buyer', 'Towards a combinatorial auction protocol among experts and amateurs: the case of single-skilled experts']","Paraphrase the following paper title without adding any other information: "" Myerson's graph-restricted games are a well-known formalism for modeling cooperation that's subject to restrictions. In particular, Myerson considered a coalitional game in which cooperation is possible only through an underlying network of links between agents. A unique fair solution concept for graph-restricted games is called the Myerson value. One study generalized these results by considering probabilistic graphs in which agents can cooperate via links only to some extent, that is, with some probability. The authors' algorithm is based on the enumeration of all connected subgraphs in the graph. As a sample application of the new algorithm, they consider a probabilistic graph that represents likelihood of pairwise collaboration between political parties before the 2015 general elections in the UK."" based on the user's previous titles: ""['Strategy/false-name proof protocols for combinatorial multi-attribute procurement auction: handling arbitrary utility of the buyer', 'Towards a combinatorial auction protocol among experts and amateurs: the case of single-skilled experts']""."
4," User-based collaborative filtering systems suggest interesting items to a user relying on similar-minded people called neighbors. The selection and weighting of these neighbors characterize the different recommendation approaches. While standard strategies perform a neighbor selection based on user similarities, trust-aware recommendation algorithms rely on other aspects indicative of user trust and reliability. In this article we restate the trust-aware recommendation problem, generalizing it in terms of performance prediction techniques, whose goal is to predict the performance of an information retrieval system in response to a particular query. We investigate how to adopt the preceding generalization to define a unified framework where we conduct an objective analysis of the effectiveness (predictive power) of neighbor scoring functions. The proposed framework enables discriminating whether recommendation performance improvements are caused by the used neighbor scoring functions or by the ways these functions are used in the recommendation computation. We evaluated our approach with several state-of-the-art and novel neighbor scoring functions on three publicly available datasets. By empirically comparing four neighbor quality metrics and thirteen performance predictors, we found strong predictive power for some of the predictors with respect to certain metrics. This result was then validated by checking the final performance of recommendation strategies where predictors are used for selecting and/or weighting user neighbors. As a result, we have found that, by measuring the predictive power of neighbor performance predictors, we are able to anticipate which predictors are going to perform better in neighbor-scoring-powered versions of a user-based collaborative filtering algorithm.","['Userbased', 'collaborative', 'interesting', 'similarminded', 'different', 'standard', 'user', 'trustaware', 'other', 'indicative', 'user', 'trustaware', 'particular', 'unified', 'objective', 'predictive', 'used', 'several', 'stateoftheart', 'novel', 'available', 'thirteen', 'strong', 'predictive', 'certain', 'final', 'andor', 'user', 'predictive', 'able', 'better', 'neighborscoringpowered', 'userbased', 'collaborative']","['Approximability', 'FourConnected', 'Multicommodity', 'MultipleValued', 'Sharing', 'balanced', 'sharing', 'And', 'Nicely', 'finding', 'possible', 'seriesparallel', 'Various', 'are', 'better', 'than', 'compact', 'protocols', 'regular', 'set', 'Web', 'algorithm', 'computing', 'ANDEXOR', 'Triconnected', 'lineartime', 'the', 'Given', 'are', 'is', 'Web', 'algorithm', 'computing', 'ANDEXOR', 'Triconnected', 'lineartime', 'the', 'balanced', 'generalized', 'uniform', 'necessary', 'optimal', 'possible', 'sufficient', 'algorithm', 'algorithms', 'for', 'using', 'Various', 'consecutive', 'the', 'Improvements', 'Sufficient', 'algorithms', 'computing', 'Characterization', 'algorithm', 'characterization', 'combinatorial', 'are', 'for', 'necessary', 'possible', 'Four', 'almost', 'consecutive', 'total', 'a', 'balanced', 'sufficient', 'algorithm', 'algorithms', 'the', 'the', 'and', 'Web', 'algorithm', 'computing', 'algorithm', 'algorithms', 'to', 'best', 'better', 'optimal', 'than', 'Approximability', 'EdgeRanking', 'MultipleValued', 'Triconnected', 'Approximability', 'Subtrees', 'vertexrankings', 'Sharing', 'balanced', 'sharing']","['Predicting the performance of recommender systems: an information theoretic approach', 'Alleviating the new user problem in collaborative filtering by exploiting personality information.']","Paraphrase the following paper title without adding any other information: "" User-based collaborative filtering systems suggest interesting items to a user relying on similar-minded people called neighbors. The selection and weighting of these neighbors characterize the different recommendation approaches. While standard strategies perform a neighbor selection based on user similarities, trust-aware recommendation algorithms rely on other aspects indicative of user trust and reliability. In this article we restate the trust-aware recommendation problem, generalizing it in terms of performance prediction techniques, whose goal is to predict the performance of an information retrieval system in response to a particular query. We investigate how to adopt the preceding generalization to define a unified framework where we conduct an objective analysis of the effectiveness (predictive power) of neighbor scoring functions. The proposed framework enables discriminating whether recommendation performance improvements are caused by the used neighbor scoring functions or by the ways these functions are used in the recommendation computation. We evaluated our approach with several state-of-the-art and novel neighbor scoring functions on three publicly available datasets. By empirically comparing four neighbor quality metrics and thirteen performance predictors, we found strong predictive power for some of the predictors with respect to certain metrics. This result was then validated by checking the final performance of recommendation strategies where predictors are used for selecting and/or weighting user neighbors. As a result, we have found that, by measuring the predictive power of neighbor performance predictors, we are able to anticipate which predictors are going to perform better in neighbor-scoring-powered versions of a user-based collaborative filtering algorithm."" based on the user's previous titles: ""['Predicting the performance of recommender systems: an information theoretic approach', 'Alleviating the new user problem in collaborative filtering by exploiting personality information.']""."
5," We have developed a deductive database system PACADE for analyzing 3-D and secondary structures of protein. The PACADE system consists of a relational database created from Protein Data Bank and a deductive engine DEE based on logic programming. It has the following features: (1) The system has an inference mechanism. This means by which users can easily write and check biological hypotheses using logical and declarative rules instead of procedural programs. (2) The relational database of the PACADE system stores data on both 3-D and secondary structures of protein. The integration of this two level structure makes feasible an abstract representation of the protein structure. We describe herein the design, functions, and implementation of this PACADE system.","['deductive', '3D', 'secondary', 'relational', 'deductive', 'logic', 'following', 'biological', 'logical', 'declarative', 'procedural', 'relational', '3D', 'secondary', 'feasible', 'abstract']","['Boolean', 'combinatorial', 'computability', 'linear', 'planar', 'key', 'sufficient', 'supply', 'Boolean', 'Cardinality', 'Hierarchical', 'cardinality', 'computability', 'Boolean', 'combinatorial', 'computability', 'linear', 'Boolean', 'Logic', 'circuits', 'combinatorial', 'the', 'characterization', 'combinatorial', 'decomposition', 'family', 'undirected', 'Logic', 'necessary', 'parallel', 'possible', 'Boolean', 'cardinality', 'computability', 'generalized', 'reducible', 'characterization', 'combinatorial', 'complexity', 'protocols', 'Boolean', 'Cardinality', 'Hierarchical', 'cardinality', 'computability', 'planar', 'key', 'sufficient', 'supply', 'necessary', 'optimal', 'possible', 'sufficient', 'Abstract', 'reducible']","['Development of the Overlapping Oligonucleotide Database and its application to signal sequence search of the human genome.', 'Bridging the Knowledge Gap between Research and Education through Textbooks']","Paraphrase the following paper title without adding any other information: "" We have developed a deductive database system PACADE for analyzing 3-D and secondary structures of protein. The PACADE system consists of a relational database created from Protein Data Bank and a deductive engine DEE based on logic programming. It has the following features: (1) The system has an inference mechanism. This means by which users can easily write and check biological hypotheses using logical and declarative rules instead of procedural programs. (2) The relational database of the PACADE system stores data on both 3-D and secondary structures of protein. The integration of this two level structure makes feasible an abstract representation of the protein structure. We describe herein the design, functions, and implementation of this PACADE system."" based on the user's previous titles: ""['Development of the Overlapping Oligonucleotide Database and its application to signal sequence search of the human genome.', 'Bridging the Knowledge Gap between Research and Education through Textbooks']""."
6," Machine learning is an increasingly used computational tool within human-computer interaction research. While most researchers currently utilize an iterative approach to refining classifier models and performance, we propose that ensemble classification techniques may be a viable and even preferable alternative. In ensemble learning, algorithms combine multiple classifiers to build one that is superior to its components. In this paper, we present EnsembleMatrix, an interactive visualization system that presents a graphical view of confusion matrices to help users understand relative merits of various classifiers. EnsembleMatrix allows users to directly interact with the visualizations in order to explore and build combination models. We evaluate the efficacy of the system and the approach in a user study. Results show that users are able to quickly combine multiple classifiers operating on multiple feature sets to produce an ensemble classifier with accuracy that approaches best-reported performance classifying images in the CalTech-101 dataset.","['used', 'computational', 'humancomputer', 'most', 'iterative', 'classifier', 'ensemble', 'viable', 'preferable', 'ensemble', 'algorithms', 'superior', 'interactive', 'graphical', 'relative', 'various', 'able', 'multiple', 'multiple', 'ensemble', 'bestreported']","['for', 'using', 'algorithms', 'computability', 'computing', 'Multicommodity', 'PolynomialTime', 'edgedisjoint', 'nonhamiltonian', 'best', 'the', 'algorithm', 'algorithm', 'Hamiltonian', 'Pair', 'characterization', 'uniform', 'necessary', 'optimal', 'possible', 'sufficient', 'better', 'necessary', 'optimal', 'possible', 'simply', 'Hamiltonian', 'Pair', 'characterization', 'uniform', 'algorithm', 'algorithms', 'best', 'better', 'optimal', 'than', 'linear', 'graphs', 'Given', 'approximation', 'optimal', 'size', 'Various', 'the', 'to', 'Various', 'consecutive', 'parallel', 'Various', 'consecutive', 'parallel', 'Hamiltonian', 'Pair', 'characterization', 'uniform', '4connected', 'MultipleValued', 'Triconnected', 'degreeconstrained']","['The best of two worlds: merging virtual and real for face to face collaboration', 'SoundWave: using the doppler effect to sense gestures']","Paraphrase the following paper title without adding any other information: "" Machine learning is an increasingly used computational tool within human-computer interaction research. While most researchers currently utilize an iterative approach to refining classifier models and performance, we propose that ensemble classification techniques may be a viable and even preferable alternative. In ensemble learning, algorithms combine multiple classifiers to build one that is superior to its components. In this paper, we present EnsembleMatrix, an interactive visualization system that presents a graphical view of confusion matrices to help users understand relative merits of various classifiers. EnsembleMatrix allows users to directly interact with the visualizations in order to explore and build combination models. We evaluate the efficacy of the system and the approach in a user study. Results show that users are able to quickly combine multiple classifiers operating on multiple feature sets to produce an ensemble classifier with accuracy that approaches best-reported performance classifying images in the CalTech-101 dataset."" based on the user's previous titles: ""['The best of two worlds: merging virtual and real for face to face collaboration', 'SoundWave: using the doppler effect to sense gestures']""."
7," We consider the problem of belief propagation in a network of communicating agents, modeled in the recently introduced Belief Revision Game (BRG) framework. In this setting, each agent expresses her belief through a propositional formula and revises her own belief at each step by considering the beliefs of her acquaintances, using belief change tools. In this paper, we investigate the extent to which BRGs satisfy some monotonicity properties, i.e., whether promoting some desired piece of belief to a given set of agents is actually always useful for making it accepted by all of them. We formally capture such a concept of promotion by a new family of belief change operators. We show that some basic monotonicity properties are not satisfied by BRGs in general, even when the agents merging-based revision policies are fully rational (in the AGM sense). We also identify some classes where they hold.","['propositional', 'own', 'belief', 'desired', 'useful', 'new', 'basic', 'general', 'mergingbased', 'rational']","['Boolean', 'cardinality', 'computability', 'generalized', 'reducible', 'into', 'the', 'demand', 'power', 'simply', 'the', 'necessary', 'optimal', 'possible', 'sufficient', 'better', 'finding', 'necessary', 'possible', 'sufficient', 'the', 'functions', 'key', 'necessary', 'generalized', 'the', 'MultipleValued', 'fourconnected', 'seriesparallel', 'approximation', 'balanced', 'reducible', 'undirected']","['On the Logic of Merging', 'Reasoning under inconsistency: the forgotten connective']","Paraphrase the following paper title without adding any other information: "" We consider the problem of belief propagation in a network of communicating agents, modeled in the recently introduced Belief Revision Game (BRG) framework. In this setting, each agent expresses her belief through a propositional formula and revises her own belief at each step by considering the beliefs of her acquaintances, using belief change tools. In this paper, we investigate the extent to which BRGs satisfy some monotonicity properties, i.e., whether promoting some desired piece of belief to a given set of agents is actually always useful for making it accepted by all of them. We formally capture such a concept of promotion by a new family of belief change operators. We show that some basic monotonicity properties are not satisfied by BRGs in general, even when the agents merging-based revision policies are fully rational (in the AGM sense). We also identify some classes where they hold."" based on the user's previous titles: ""['On the Logic of Merging', 'Reasoning under inconsistency: the forgotten connective']""."
8," A new active set algorithm (ASA) for large-scale box constrained optimization is introduced. The algorithm consists of a nonmonotone gradient projection step, an unconstrained optimization step, and a set of rules for switching between the two steps. Numerical experiments and comparisons are presented using box constrained problems in the CUTEr and MINPACK test problem libraries.","['new', 'active', 'largescale', 'algorithm', 'nonmonotone', 'unconstrained', 'Numerical']","['the', 'connected', 'designated', 'optimal', 'regular', 'generalized', 'parallel', 'partial', 'algorithm', 'BendOptimal', 'PolynomialTime', 'edgedisjoint', 'vertexrankings', 'bounded', 'generalized', 'orthogonal', 'undirected', 'Algorithms', 'Parametric']","['Two New Regularized Adaboost Algorithms', 'A sparse proximal implementation of the LP dual active set algorithm']","Paraphrase the following paper title without adding any other information: "" A new active set algorithm (ASA) for large-scale box constrained optimization is introduced. The algorithm consists of a nonmonotone gradient projection step, an unconstrained optimization step, and a set of rules for switching between the two steps. Numerical experiments and comparisons are presented using box constrained problems in the CUTEr and MINPACK test problem libraries."" based on the user's previous titles: ""['Two New Regularized Adaboost Algorithms', 'A sparse proximal implementation of the LP dual active set algorithm']""."
9," In this paper, we present the challenges involved in large-scale video transcoding application in public clouds. We introduce the architecture of an existing video transcoding system which is tightly coupled with an existing video sharing service. We examine the horizontal scalability of the video transcoding system on AWS EC2. With an online transaction processing (OLTP) model, the system achieves linear horizontal scalability up to 1,000 vCPU cores, but starts to experience performance degradation beyond that. We analyze the resource consumption pattern of the existing system, then introduce an improved architecture by adding a message queue layer. This effectively decouples the video transcoding system from the video sharing service and converts the OLTP model into a batch processing model. Large-scale evaluations on AWS EC2 indicate that the improved design maintains linear horizontal scalability at 10,100 vCPU cores. The hybrid design of the system allows it to be easily adapted for other batch processing use cases without the need to modify or recompile the application.","['largescale', 'public', 'horizontal', 'online', 'linear', 'improved', 'Largescale', 'improved', 'linear', 'horizontal', 'hybrid', 'other']","['generalized', 'parallel', 'partial', 'areas', 'demand', 'networks', 'secret', 'parallel', 'rectangle', 'rectangular', 'Web', 'best', 'exchange', 'networks', 'regular', 'linear', 'Improved', 'Improvements', 'better', 'optimal', 'Partitioning', 'Improved', 'Improvements', 'better', 'optimal', 'linear', 'parallel', 'rectangle', 'rectangular', 'compact', 'computing', 'planar', 'the']","['Resilient virtual communication networks using multi-commodity flow based local optimal mapping.', 'A parallel computing engine for a class of time critical processes.']","Paraphrase the following paper title without adding any other information: "" In this paper, we present the challenges involved in large-scale video transcoding application in public clouds. We introduce the architecture of an existing video transcoding system which is tightly coupled with an existing video sharing service. We examine the horizontal scalability of the video transcoding system on AWS EC2. With an online transaction processing (OLTP) model, the system achieves linear horizontal scalability up to 1,000 vCPU cores, but starts to experience performance degradation beyond that. We analyze the resource consumption pattern of the existing system, then introduce an improved architecture by adding a message queue layer. This effectively decouples the video transcoding system from the video sharing service and converts the OLTP model into a batch processing model. Large-scale evaluations on AWS EC2 indicate that the improved design maintains linear horizontal scalability at 10,100 vCPU cores. The hybrid design of the system allows it to be easily adapted for other batch processing use cases without the need to modify or recompile the application."" based on the user's previous titles: ""['Resilient virtual communication networks using multi-commodity flow based local optimal mapping.', 'A parallel computing engine for a class of time critical processes.']""."
